crop_ends	NG_057988_Scolecobasidium_icarus_CBS_53669	1113,1114,1115,1116,1117,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1138,1139,1140,1141,1142,1143,1144,1145,1147,1148,1149,1150,1151,1152,1153,1155,1156,1157,1158,1159,1160,1161,1162,1164,1165,1167,1168,1169,1170,1171,1172,1173,1174,1176,1177,1178,1179,1180,1182,1183
crop_ends	NG_057990_Scolecobasidium_lascauxense_CBS_131815	1113,1114,1115,1116,1117,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1138,1139,1140,1141,1142,1143,1144,1145,1147,1148,1149,1150,1151,1152,1153,1155,1156,1157,1158,1159,1160,1161,1162,1164,1165,1167,1168,1169,1170,1171,1172,1173,1174,1176,1177,1178,1179,1180,1182,1183
crop_ends	NG_229067_Scolecobasidium_millerae_BRIP_75007a	1316,1317,1378,1399,1406,1407,1408,1409,1410,1411,1414,1416,1418,1419,1420,1432,2088,2089,2090,2091,2092,2117,2118,2120,2121,2123,2124,2126,2127,2226,2227,2229,2230,2231,2232,2233,2234
crop_ends	NG_068334_Scolecobasidium_podocarpi_CPC_37078	1316,1317,1378,1399,1406,1407,1408,1409,1410,1411,1414,1416,1418,1419
crop_ends	NG_068332_Scolecobasidium_blechni_CPC_37047	1316,1317,1378,1399,1406,1407,1408,1409,1410,1411,1414,1416,1418,1419,1420,1432,2088,2089,2090,2091,2092,2117,2118,2120,2121,2123,2124,2126,2127
crop_ends	NG_148967_Scolecobasidium_guangxiense_CGMCC_319907	1316,1317,1378,1399,1406,1407,1408,1409,1410,1411,1414,1416,1418,1419,3019,3020,3021
crop_ends	NG_228920_Verruconis_phayaoensis_MFLUCC_180286	1316,1317,1378,1399,1406,1407,1408,1409,1410,1411,1414,1416,1418,1419
crop_ends	NG_228896_Verruconis_cylindricalis_GUCC_18299	1316,1317,1378,1399,1406,1407,1408,1409,1410,1411,1414,1416,1418,1419,1420,1432,2088,2089,2090,2091,2092,2117,2118,2120,2121,2123,2124,2126,2127,2226,2227,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2401,2460,2461,2466,2467,2472,2473,2474,2475,2476,2477,2478,2492,2493,2494
crop_ends	NG_059638_Neocoleroa_metrosideri_PDD_107531	1316,1317,1378,1399,1406,1407,1408,1409,1410,1411,1414,1416,1418,1419,1420,1432,2088,2089,2090,2091,2092,2117,2118,2120,2121,2123,2124,2126,2127,2226,2227,2229,2230,2231,2232,2233,2234,2235,2236,2237,2238,2401,2460,2461,2466,2467,2472,2473,2474,2475,2476
crop_ends	NG_070465_Pseudosigmoidea_alnicola_28S_rRNA	1316,1317,1378,1399,1406,1407,1408,1409,1410,1411,1414,1416
